,diploids,tetraploids,plate,line,rep,salt,iter,week,pop,plate
E8.fcs,9459,346,2,D,4,1,2,3,D41,2
E9.fcs,9545,279,2,D,6,1,1,3,D61,2
E10.fcs,8829,311,2,D,6,1,2,3,D61,2
B1.fcs,5093,166,1,A,1,0,1,4,A10,1
B2.fcs,5341,204,1,A,1,0,2,4,A10,1
B3.fcs,8219,1723,1,A,2,0,1,4,A20,1
B4.fcs,7994,1822,1,A,2,0,2,4,A20,1
B5.fcs,10895,1139,1,A,3,0,1,4,A30,1
B6.fcs,10103,1238,1,A,3,0,2,4,A30,1
B7.fcs,9678,975,1,A,4,0,1,4,A40,1
B8.fcs,8171,996,1,A,4,0,2,4,A40,1
B9.fcs,8065,943,1,A,5,0,1,4,A50,1
B10.fcs,8529,344,1,A,5,0,2,4,A50,1
B11.fcs,6631,1190,1,A,6,0,1,4,A60,1
B12.fcs,7381,304,1,A,6,0,2,4,A60,1
C1.fcs,8635,819,1,B,1,0,1,4,B10,1
C2.fcs,10320,1168,1,B,1,0,2,4,B10,1
C3.fcs,9737,412,1,B,2,0,1,4,B20,1
C4.fcs,10360,446,1,B,2,0,2,4,B20,1
C5.fcs,15978,623,1,B,3,0,1,4,B30,1
C6.fcs,9020,1354,1,B,3,0,2,4,B30,1
C7.fcs,8861,855,1,B,4,0,1,4,B40,1
C8.fcs,9323,1553,1,B,4,0,2,4,B40,1
C9.fcs,8543,267,1,B,5,0,1,4,B50,1
C10.fcs,7619,226,1,B,5,0,2,4,B50,1
C11.fcs,5643,609,1,B,6,0,1,4,B60,1
C12.fcs,3117,649,1,B,6,0,2,4,B60,1
D1.fcs,10324,2923,1,C,1,0,1,4,C10,1
D2.fcs,8985,383,1,C,1,0,2,4,C10,1
D3.fcs,7985,2390,1,C,2,0,1,4,C20,1
D4.fcs,9353,359,1,C,2,0,2,4,C20,1
D5.fcs,3911,530,1,C,3,0,1,4,C30,1
D6.fcs,4503,430,1,C,3,0,2,4,C30,1
D7.fcs,11356,608,1,C,4,0,1,4,C40,1
D8.fcs,9631,542,1,C,4,0,2,4,C40,1
D9.fcs,9525,227,1,C,5,0,1,4,C50,1
D10.fcs,8051,226,1,C,5,0,2,4,C50,1
D11.fcs,7461,228,1,C,6,0,1,4,C60,1
D12.fcs,9033,325,1,C,6,0,2,4,C60,1
E1.fcs,10204,404,1,D,1,0,1,4,D10,1
E2.fcs,10740,425,1,D,1,0,2,4,D10,1
